full_name,email,clerkship,avail,location,numstu
Fremont Cane,fcane8b@360.cn,OBGYN,000000100011000000100011,Dallas,2
Iain Bramley,ibramley8c@g.co,Pediatrics,010000000100010000000100,Dallas,1
Dania Budgeon,dbudgeon8d@prnewswire.com,Pediatrics,011101001000011101001000,Denton,2
Elyn Doag,edoag8e@4shared.com,Pediatrics,010000101000010000101000,Keller/Southlake/Alliance,2
Codee Hotton,chotton8f@sbwire.com,Pediatrics,101100000000101100000000,Dallas,2
Moishe Dyke,mdyke8g@seesaa.net,Pediatrics,001000000010001000000010,Keller/Southlake/Alliance,2
Timofei Saull,tsaull8h@cpanel.net,Pediatrics,000011000000000011000000,Keller/Southlake/Alliance,2
Kaleena Piggins,kpiggins8i@newsvine.com,Pediatrics,100110000001100110000001,Fort Worth,1
Eden Gorvette,egorvette8j@behance.net,Pediatrics,000011100011000011100011,Fort Worth,2
Mellicent Cathro,mcathro8k@paypal.com,Pediatrics,000001100011000001100011,Arlington,1
Carl Trevor,ctrevor8l@cbc.ca,Pediatrics,000001000001000001000001,Arlington,2
Modestia Boggs,mboggs8m@google.de,Pediatrics,011000001100011000001100,Denton,2
Des Wawer,dwawer8n@dropbox.com,Pediatrics,001011010000001011010000,Keller/Southlake/Alliance,1
Jamie Landall,jlandall8o@ask.com,Pediatrics,010000000100010000000100,Fort Worth,1
Karoly Bortolutti,kbortolutti8p@fc2.com,Pediatrics,010001100101010001100101,Keller/Southlake/Alliance,2
Jess Peachey,jpeachey8q@feedburner.com,Pediatrics,000010000000000010000000,Fort Worth,2
Abra Madelin,amadelin8r@godaddy.com,Pediatrics,101000000110101000000110,Denton,1
Carr Scotchmor,cscotchmor8s@amazon.co.jp,Pediatrics,010000010100010000010100,Denton,2
Roderic Garvie,rgarvie8t@bloglovin.com,Pediatrics,110001000011110001000011,Denton,2
Rex Griswaite,rgriswaite8u@odnoklassniki.ru,Pediatrics,100010100000100010100000,Dallas,1
Jaquelyn Pedroni,jpedroni8v@photobucket.com,Pediatrics,001000000011001000000011,Denton,2
Evita Hrinishin,ehrinishin8w@harvard.edu,Pediatrics,000001001001000001001001,Mansfield,2
Rora Hagyard,rhagyard8x@wikipedia.org,Pediatrics,010010000000010010000000,Fort Worth,1
Heddie Gelderd,hgelderd8y@istockphoto.com,Pediatrics,110000001000110000001000,Arlington,1
Erinna Vaugham,evaugham8z@vkontakte.ru,Pediatrics,101000000010101000000010,Keller/Southlake/Alliance,2
Krissie Atchly,katchly90@adobe.com,Pediatrics,000100000100000100000100,Dallas,1
Slade Westlake,swestlake91@canalblog.com,Pediatrics,010001100010010001100010,Dallas,2
Fredra Botterman,fbotterman92@facebook.com,Pediatrics,000000010101000000010101,Fort Worth,2
Gerrard Harmar,gharmar93@aol.com,Pediatrics,101110000010101110000010,Denton,1
Elicia Gandrich,egandrich94@miibeian.gov.cn,Pediatrics,000010000010000010000010,Keller/Southlake/Alliance,1
Garvey Rowler,growler95@drupal.org,Pediatrics,000010010000000010010000,Fort Worth,2
Chastity Race,crace96@fema.gov,Pediatrics,000110001111000110001111,Arlington,2
Marshall Fermor,mfermor97@github.com,Pediatrics,001001001110001001001110,Fort Worth,2
Malinda Claricoats,mclaricoats98@weather.com,Pediatrics,001100010000001100010000,Mansfield,2
Northrop Kondratyuk,nkondratyuk99@gov.uk,Pediatrics,000010000000000010000000,Dallas,2
Maynord Niesing,mniesing9a@blogspot.com,Pediatrics,001000000000001000000000,Keller/Southlake/Alliance,2
Mikol Asher,masher9b@wufoo.com,Pediatrics,010101000000010101000000,Dallas,1
Aylmer Basey,abasey9c@nymag.com,Pediatrics,010000001000010000001000,Keller/Southlake/Alliance,1
Di Stiller,dstiller9d@printfriendly.com,Pediatrics,010111000110010111000110,Arlington,2
Goober Layman,glayman9e@va.gov,Pediatrics,010000010100010000010100,Denton,1
Saudra De Cruze,sde9f@xrea.com,Pediatrics,000001001001000001001001,Fort Worth,1
Katlin Desseine,kdesseine9g@indiatimes.com,Pediatrics,100110000010100110000010,Arlington,1
Gertrud Coolbear,gcoolbear9h@webs.com,Pediatrics,011100100001011100100001,Arlington,1
Dyane Parncutt,dparncutt9i@wired.com,Pediatrics,000000110001000000110001,Denton,1
Frazer Sumpter,fsumpter9j@squidoo.com,Pediatrics,001100001000001100001000,Dallas,2
Vonni Peevor,vpeevor9k@europa.eu,Pediatrics,000101100001000101100001,Fort Worth,1
Armstrong Gabbatiss,agabbatiss9l@nps.gov,Pediatrics,000000101101000000101101,Dallas,1
Aldrich Guerre,aguerre9m@webs.com,Pediatrics,110100001001110100001001,Dallas,2
Constantia Bonfield,cbonfield9n@edublogs.org,Pediatrics,001001100110001001100110,Arlington,2
Lise Blakden,lblakden9o@hubpages.com,Pediatrics,000100001010000100001010,Keller/Southlake/Alliance,2
Mikkel Somers,msomers9p@spotify.com,Pediatrics,111000011000111000011000,Mansfield,1
Modestia Clinton,mclinton9q@themeforest.net,Pediatrics,011010101000011010101000,Keller/Southlake/Alliance,2
Franny Lartice,flartice9r@buzzfeed.com,Pediatrics,011010010000011010010000,Mansfield,1
Pier Downey,pdowney9s@economist.com,Pediatrics,000000010101000000010101,Dallas,1
Darryl Good,dgood9t@examiner.com,Pediatrics,000100010010000100010010,Mansfield,2
Ailene Flaunier,aflaunier9u@sina.com.cn,Pediatrics,000010000001000010000001,Mansfield,2
Lauretta Cupitt,lcupitt9v@epa.gov,Pediatrics,000000111011000000111011,Fort Worth,2
Fancy Whitney,fwhitney9w@ovh.net,Pediatrics,110001001000110001001000,Fort Worth,2
Rowen Eudall,reudall9x@unc.edu,Pediatrics,000000000010000000000010,Arlington,2
Chelsae Schiersch,cschiersch9y@acquirethisname.com,Pediatrics,000010000000000010000000,Mansfield,1
Wendel Scholig,wscholig9z@godaddy.com,Pediatrics,010101000000010101000000,Fort Worth,1
Isidore Rees,ireesa0@desdev.cn,Psychiatry,000100101000000100101000,Fort Worth,2
Leyla Franzetti,lfranzettia1@arizona.edu,Psychiatry,001000000000001000000000,Mansfield,2
Gilbertina Moller,gmollera2@w3.org,Psychiatry,000000000100000000000100,Dallas,2
Jerrold Sambells,jsambellsa3@scientificamerican.com,Psychiatry,000000001011000000001011,Arlington,2
Ulysses Kedward,ukedwarda4@purevolume.com,Psychiatry,000001010001000001010001,Keller/Southlake/Alliance,2
Farleigh Scalera,fscaleraa5@fc2.com,Psychiatry,101010101100101010101100,Mansfield,2
Merna Breitler,mbreitlera6@ucsd.edu,Psychiatry,011000000000011000000000,Denton,2
Worthington Carnilian,wcarniliana7@soundcloud.com,Psychiatry,000010000100000010000100,Denton,2
Sherry Pleven,splevena8@epa.gov,Psychiatry,000000000010000000000010,Fort Worth,1
Elton Honig,ehoniga9@issuu.com,Psychiatry,000010000000000010000000,Fort Worth,1
Raviv Jahnisch,rjahnischaa@hostgator.com,Psychiatry,000000000001000000000001,Dallas,2
Wakefield Pietrusiak,wpietrusiakab@slashdot.org,Psychiatry,100010010000100010010000,Denton,2
Lorraine Ganniclifft,lganniclifftac@flavors.me,Psychiatry,001100000000001100000000,Keller/Southlake/Alliance,1
Laird Garner,lgarnerad@mayoclinic.com,Psychiatry,000110100110000110100110,Fort Worth,2
Wendie MacCourt,wmaccourtae@cnbc.com,Psychiatry,001011111000001011111000,Mansfield,1
Dionis Cornell,dcornellaf@123-reg.co.uk,Psychiatry,000000100100000000100100,Keller/Southlake/Alliance,1
Lexis Mazdon,lmazdonag@google.pl,Psychiatry,000000001010000000001010,Arlington,2
Daisy Sayers,dsayersah@paypal.com,Psychiatry,011000000000011000000000,Denton,2
Alisha Doche,adocheai@apache.org,Psychiatry,001000000000001000000000,Arlington,2
Fernandina Ketteringham,fketteringhamaj@php.net,Psychiatry,000000110101000000110101,Mansfield,2
Jemmy Budden,jbuddenak@ezinearticles.com,Psychiatry,001001101000001001101000,Mansfield,2
Rudd Armor,rarmoral@amazon.com,Psychiatry,010000010100010000010100,Keller/Southlake/Alliance,2
Ryun Sallows,rsallowsam@google.co.jp,Psychiatry,001111000001001111000001,Denton,1
Christan Gasgarth,cgasgarthan@cnn.com,Psychiatry,010000001100010000001100,Keller/Southlake/Alliance,1
Alan Northway,anorthwayao@yandex.ru,Psychiatry,010101000000010101000000,Dallas,2
Jasmine Perrot,jperrotap@ox.ac.uk,Psychiatry,000001001000000001001000,Arlington,2
Frederick Hubner,fhubneraq@psu.edu,Psychiatry,000001000000000001000000,Mansfield,2
Emmi Loads,eloadsar@alexa.com,Psychiatry,011101001000011101001000,Mansfield,1
Agatha Corington,acoringtonas@cocolog-nifty.com,Psychiatry,010001000000010001000000,Mansfield,2
Enrika Ketley,eketleyat@rambler.ru,Psychiatry,100000010000100000010000,Fort Worth,1
Laverna Rubartelli,lrubartelliau@theatlantic.com,Psychiatry,001100000001001100000001,Dallas,1
Fernanda Junkinson,fjunkinsonav@vkontakte.ru,Psychiatry,110000111000110000111000,Fort Worth,1
Leland Plues,lpluesaw@apache.org,Psychiatry,000000010100000000010100,Keller/Southlake/Alliance,2
Erroll Mercik,emercikax@webs.com,Psychiatry,101100000010101100000010,Mansfield,1
Pearce Moorcraft,pmoorcraftay@cocolog-nifty.com,Psychiatry,001000010000001000010000,Mansfield,2
Rudiger Bazylets,rbazyletsaz@nature.com,Psychiatry,010000100010010000100010,Dallas,1
Palmer Spiers,pspiersb0@amazon.com,Psychiatry,100000101000100000101000,Arlington,2
Lyndsay Meatyard,lmeatyardb1@independent.co.uk,Psychiatry,000000101000000000101000,Mansfield,2
Skipper Moogan,smooganb2@tripadvisor.com,Psychiatry,010101011000010101011000,Arlington,2
Yvette McIlwraith,ymcilwraithb3@blog.com,Psychiatry,000011001100000011001100,Mansfield,1
Lou Dowyer,ldowyerb4@mozilla.org,Psychiatry,000010010000000010010000,Mansfield,1
Grange Unger,gungerb5@jiathis.com,Psychiatry,000100110010000100110010,Keller/Southlake/Alliance,1
Jannel Laise,jlaiseb6@sakura.ne.jp,Psychiatry,001100000010001100000010,Keller/Southlake/Alliance,2
Donielle Hollingby,dhollingbyb7@feedburner.com,Psychiatry,000010011000000010011000,Arlington,1
Madlin Clewlow,mclewlowb8@studiopress.com,Psychiatry,000110000000000110000000,Fort Worth,2
George Scales,gscalesb9@independent.co.uk,Psychiatry,000011000010000011000010,Dallas,2
Maritsa Glasbey,mglasbeyba@twitter.com,Psychiatry,001000000011001000000011,Dallas,1
Dasi Povlsen,dpovlsenbb@photobucket.com,Psychiatry,101000010001101000010001,Mansfield,1
Korney Jeffry,kjeffrybc@prnewswire.com,Psychiatry,011011000000011011000000,Dallas,1
Hiram Copcutt,hcopcuttbd@deliciousdays.com,Psychiatry,001100101010001100101010,Keller/Southlake/Alliance,2
Nealon Newlands,nnewlandsbe@surveymonkey.com,Psychiatry,011010000110011010000110,Denton,2
Dee dee Kitchingman,ddeebf@cmu.edu,Psychiatry,001101010000001101010000,Dallas,2
Halley Row,hrowbg@bloglovin.com,Psychiatry,000100000000000100000000,Fort Worth,1
Iolanthe Neild,ineildbh@bbb.org,Psychiatry,000001100000000001100000,Fort Worth,2
Sandi Symons,ssymonsbi@amazon.com,Psychiatry,000100000001000100000001,Mansfield,1
Nev Osborn,nosbornbj@tripadvisor.com,Psychiatry,000100000010000100000010,Arlington,2
Caterina Pizzie,cpizziebk@businessweek.com,Psychiatry,101010101010101010101010,Dallas,2
Rubina Eyres,reyresbl@1688.com,Psychiatry,101000000000101000000000,Mansfield,1
Kathryn Wilcot,kwilcotbm@squarespace.com,Psychiatry,000001001010000001001010,Keller/Southlake/Alliance,1
Aurea Murdy,amurdybn@seattletimes.com,Psychiatry,000001010100000001010100,Mansfield,1
